datetime,id,message
"10/05/2021, 11:16",Udaya,hi
"10/05/2021, 11:30",Udaya,Has anyone completed transfer learning assignment and can help me out?
"10/05/2021, 11:30",Krishna,hi all
"10/05/2021, 16:11",Mahendra,<Media omitted>
"10/05/2021, 16:13",Sherya,df.age.isna() or df.age.isnull()
"10/05/2021, 16:13",Monika,Both work
"10/05/2021, 16:13",Sherya,Ya
"10/05/2021, 16:14",Monika,Np.nan
"10/05/2021, 16:14",Monika,Try it
"10/05/2021, 16:19",Mahendra,will u please write the code which line u r suggested this code
"10/05/2021, 16:22",Sherya,"df['age'].replace(np.nan, 0)"
"10/05/2021, 16:23",Mahendra,thanks sumeet
"10/05/2021, 16:31",Nagaraju,"Hey, has anyone here finished mock interview #1?"
"10/05/2021, 16:39",Mahendra,No
"10/05/2021, 16:44",Gita,No
"10/05/2021, 17:13",Gita,While doing assignment.. I see lot of code in internet as in our assignment.. We will use that r we have to do completely new code???
"10/05/2021, 17:25",Nagaraju,If you use code from internet you need to cite its source
"10/05/2021, 17:26",Nav,"Even if you're copying the code, mention it's source and understand the logic. Blindly copying the code won't help at all"
"10/05/2021, 17:27",Nagaraju,If you copy code from someone's github then they will mark it as plagiarized
"10/05/2021, 17:28",Nagaraju,So be careful
"10/05/2021, 17:57",Gita,Oh k thank u
"11/05/2021, 19:31",Namita,<Media omitted>
"11/05/2021, 19:41",Shyama,Try pyplot.annotate
"11/05/2021, 19:56",Sherya,<Media omitted>
"11/05/2021, 19:56",Sherya,<Media omitted>
"11/05/2021, 19:56",Sherya,Can someone please confim if these are the top 4 features with maximum weight difference?
"11/05/2021, 19:57",Sherya,Assignment no. 8D: Behaviour of Linear Models
"11/05/2021, 19:57",Nagaraju,"You need to play around with the X,y values in PLT.text"
"11/05/2021, 20:02",Nagaraju,I have finished this assignment
"11/05/2021, 20:03",Nagaraju,<Media omitted>
"11/05/2021, 20:03",Nagaraju,<Media omitted>
"11/05/2021, 20:03",Nagaraju,SVM ^
"11/05/2021, 20:03",Nagaraju,I noticed that feature importance may slightly vary if you use different parameters in your learning model
"11/05/2021, 20:07",Sherya,Thankyou :)
"11/05/2021, 20:09",Sherya,Here your y axis is the absolute difference in weights right?
"11/05/2021, 20:31",Nagaraju,Ye
"11/05/2021, 20:31",Sherya,Cool
"13/05/2021, 02:50",Nagaraju,Have any of you completed FB case study assignment?
"13/05/2021, 08:54",Suyash,Guyz in the assignment of bootstrap random forest for the second task the the oob values are high and >35 . How to get low values of oob ?
"13/05/2021, 09:12",Prajwal,"Hi Guys, this is bitoff question..If you want to learn data structure and algorithms, there is interview preparation course by AppliedAI, where they are providing 50percent off if join in a group of 3 people..I am willing to take it..if anyone  interested, we can group and take the course.."
"13/05/2021, 09:17",Ankit,Hey bro...
